"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Products","2","0","View Brand Products","0"
"0","","0","Checkout","1","0","Place Order - Register During Checkout","0"
"0","","0","UI Validations","1","0","Contact Us Form","0"
"0","","0","Cart","2","0","Remove Product from Cart","0"
"0","","0","Cart","3","0","Verify Product Quantity in Cart","0"
"0","","0","Products","1","0","Search Products","0"
"0","","0","Checkout","1","0","Place Order - Register Before Checkout","0"
"0","","0","Cart","3","0","Add Multiple Products and Validate Total","0"
"0","","0","Products","1","0","View Category Products","0"
"0","","0","Checkout","1","0","Place Order - Login Before Checkout","0"
"0","","0","Products","2","0","Add Review on Product","0"
"0","","0","Subscription","3","0","Subscribe from Cart Page","0"
"0","","0","Products","3","0","Search with No Results","0"
"0","","0","Authentication","3","0","Login with Invalid Credentials","0"
"0","","0","Authentication","1","0","Register with Existing Email","0"
"0","","0","Products","0","1","Add Product with Zero Quantity","0"
"0","","0","Cart","1","0","Add Recommended Product to Cart","0"
"0","","0","Cart","1","0","Add Products to Cart","0"
"0","","0","Subscription","3","0","Subscribe from Homepage","0"
"0","","0","UI Validations","1","0","Scroll Up using Arrow Button","0"
"0","","0","UI Validations","1","0","Scroll Up without Arrow Button","0"
"0","","0","Authentication","1","0","Register New User","0"
"0","","0","Cart","1","0","Search and Verify Cart After Login","0"
"0","","0","Checkout","1","0","Download Invoice After Purchase","0"
"0","","0","Checkout","1","0","Verify Address Details at Checkout","0"
