"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1747","test_view_and_cart_brand_products[data0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","9189","test_place_order_register_during_checkout[payment0-user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","13812","test_uiValidation[user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","3204","test_remove_products_from_cart[data0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1958","test_verify_product_quantity[data0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","2621","test_search_products[t-shirt]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","8123","test_place_order_register_before_checkout[payment0-user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","2575","test_add_multiple_products_and_validate_total[data2]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","2691","test_add_multiple_products_and_validate_total[data0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1710","test_view_category_products[data0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","6574","test_place_order_login_before_checkout[payment0-user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1786","test_add_review_on_product[data0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1499","test_subscription_in_cart[test@example.com]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","2415","test_search_no_results[noProductFound]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1854","test_login_empty_fields[wrong@test.com-wrong123]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","5182","test_register_existing_user[user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1986","test_add_review_on_product[data1]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","0","test_add_product_with_zero_quantity","","2026-04-23","skipped","2026-04-23","","test_endToEndFlow","",""
"","4379","test_add_multiple_products_and_validate_total[data1]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1787","test_view_and_cart_brand_products[data1]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","7130","test_add_to_cart_from_recommended_items","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","2195","test_add_products_to_cart[indices0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1668","test_subscription_in_cart[invalidemail]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","3526","test_remove_products_from_cart[data1]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1233","test_subscription_in_homepage[invalidemail]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1463","test_verify_scroll_up_and_down","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1367","test_verify_scroll_without_arrow","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","4657","test_register_user[user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","5626","test_search_products_and_verify_cart_after_login[t-shirt-user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1214","test_login_empty_fields[-password123]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","2505","test_search_no_results[@@@@]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1747","test_subscription_in_cart[]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1297","test_subscription_in_homepage[]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1969","test_login_empty_fields[test@test.com-]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","13345","test_download_invoice_after_purchase[payment0-user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1538","test_verify_product_quantity[data1]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1766","test_verify_product_quantity[data2]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","4399","test_search_no_results[zzzz123]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","1085","test_subscription_in_homepage[test@example.com]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
"","6709","test_verify_address_details_in_checkout[user0]","","2026-04-23","passed","2026-04-23","","test_endToEndFlow","",""
